title,price,old_price,discount_offer,image_urls,images
BMX KHE Silencer 20,29699,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/37a/176_188_1/20072840299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/37a/176_188_1/20072840299.jpg', 'path': 'full/0c8a9f0aef030bde1b3862284955fafe72b24890.jpg', 'checksum': 'c66f6609cfd5db67215e7c1113756968'}]"
горный Stern First 26,8999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/8c5/176_188_1/27911170299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/8c5/176_188_1/27911170299.jpg', 'path': 'full/c63960076c90e0838fe269ecc3004aa8777f9066.jpg', 'checksum': '1885b819b513467f9ab38dd216fceaa0'}]"
горный CUBE Attention Sl 29,85999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/5b4/176_188_1/30618840299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/5b4/176_188_1/30618840299.jpg', 'path': 'full/cc9189c37a214b9a0ed5b77e18300ba19e1c5d3b.jpg', 'checksum': '97b9eb7516e0dc61bf536570bc482c0d'}]"
горный Stern Energy 1.0 26,15999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7f7/176_188_1/27516140299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7f7/176_188_1/27516140299.jpg', 'path': 'full/e7700abd2747a82d03e7fdd4296eb95f1f755a56.jpg', 'checksum': 'cacb0348cbdf3e85883313270c23be0c'}]"
"горный женский Stern Mira 2.0 27,5",16999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7ea/176_188_1/27508690299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7ea/176_188_1/27508690299.jpg', 'path': 'full/c88ad6b716bef604e4c5348099f04da575f15a8f.jpg', 'checksum': 'd129a06dcb9d0bcff64fb9fadc8f2ce1'}]"
шоссейный Trek EMONDA SL 5 700C,124199,,,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/d65/176_188_1/21016150299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/d65/176_188_1/21016150299.jpg', 'path': 'full/980794ad7f183d5770ec742b0776c6b4bc2ecbd2.jpg', 'checksum': 'ba5c768a5f6a88c2ee647eed93b51131'}]"
BMX KHE COSMIC,18399,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/360/176_188_1/27505710299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/360/176_188_1/27505710299.jpg', 'path': 'full/202db9550e8d46ec223442fcf3ceb8b1fc4cbcc0.jpg', 'checksum': 'f529ca164bcf643e987a2cfc96a74b12'}]"
детский BMX KHE Blaze 16,20999,nan,0,https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_recommend_inline.png?sv=df873941360fec04,"[{'url': 'https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_recommend_inline.png?sv=df873941360fec04', 'path': 'full/8e5667328e5d929fbe28c6dddfe6464a06a30ecc.jpg', 'checksum': 'c5730af8353427059b45d085d0249b18'}]"
горный Stern Motion 1.0 alt 27.5,20999,nan,0,https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_recommend_inline.png?sv=df873941360fec04,"[{'url': 'https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_recommend_inline.png?sv=df873941360fec04', 'path': 'full/8e5667328e5d929fbe28c6dddfe6464a06a30ecc.jpg', 'checksum': 'c5730af8353427059b45d085d0249b18'}]"
городской женский Stern Urban 2.0 Lady 28,17499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/da0/176_188_1/27938690299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/da0/176_188_1/27938690299.jpg', 'path': 'full/1deb5112784d41d9fa234049381293015dd5c820.jpg', 'checksum': '94574083b1e02a1f01df87d47fd8d251'}]"
"горный Stern Energy 2.0 27,5",16999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f40/176_188_1/27921960299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f40/176_188_1/27921960299.jpg', 'path': 'full/a9fca0b918c859db8fd692b2d61891c64ce728a3.jpg', 'checksum': '82ae27907a74c33367f84d9ac8f9ce0c'}]"
складной Stern Compact 24,16199,"17,999","16,199",https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/6d5/176_188_1/27508530299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/6d5/176_188_1/27508530299.jpg', 'path': 'full/f7cf1a21551af032c166bb97274861a0153ff537.jpg', 'checksum': '916d54712002ec2174c9f08c17cb9b65'}]"
складной Tern Link C8 20,34999,,,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/62e/176_188_1/31254460299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/62e/176_188_1/31254460299.jpg', 'path': 'full/c0dbb6526abc2c98a82966c1c74c0790a164808e.jpg', 'checksum': 'd2de2e61a138c5cc91a46b965a7594bd'}]"
горный Trek MARLIN 4 29,33999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3f3/176_188_1/27888770299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3f3/176_188_1/27888770299.jpg', 'path': 'full/70becc2ac1c21f33dba2c251a47854f14c8565db.jpg', 'checksum': 'edcee54c6a2c8e708f650f99ac52ba01'}]"
горный CUBE Aim Pro,41999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/926/176_188_1/27965310299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/926/176_188_1/27965310299.jpg', 'path': 'full/47f32a061b14b4109a90906c8c08c7ad9db5e849.jpg', 'checksum': '3b3347d62e856ed22b97e70b5dc0db51'}]"
горный женский CUBE Access Ws Eaz,42999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/520/176_188_1/27757040299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/520/176_188_1/27757040299.jpg', 'path': 'full/36e734c537554ec9e81f86fb7ab01ff6615bfc63.jpg', 'checksum': '31f0a85ad4a99420555be8c2b3e9ddc8'}]"
горный Scott Aspect 970,38999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f92/176_188_1/31253920299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f92/176_188_1/31253920299.jpg', 'path': 'full/498552152aa30a210a3a19c10de7fabb3afe887b.jpg', 'checksum': 'a8985a22a679c92734437e4414e81141'}]"
BMX KHE Arsenic 16,20999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/b43/176_188_1/27504290299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/b43/176_188_1/27504290299.jpg', 'path': 'full/d2010392fb78399f77537aedf1cd14abf2f40eab.jpg', 'checksum': '7afca1b0c3805cc0007b778fce218115'}]"
горный женский CUBE Access Ws Eaz,42999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/dae/176_188_1/27757070299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/dae/176_188_1/27757070299.jpg', 'path': 'full/65f1db8c5a37d724b62f4dc6bdfe1eaf572bf375.jpg', 'checksum': '3deddf57ad5c6eef32fd1ca17e88e984'}]"
BMX KHE LENNY,17999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/2df/176_188_1/27625240299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/2df/176_188_1/27625240299.jpg', 'path': 'full/dc1c62c912f7a6f5bad0bf7280c1f11c3e240eb6.jpg', 'checksum': 'd9ab3f77c4ec3de34b5a889b17c48f34'}]"
складной Stern Travel 20,7199,"7,999","7,199",https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/bc3/176_188_1/28459320299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/bc3/176_188_1/28459320299.jpg', 'path': 'full/fd4980d906632c5a533596144e52c4b53ae4a515.jpg', 'checksum': '02c6c95b04b9a8e5f1ae52a746bc2ca9'}]"
"горный женский Scott Contessa Active 50, 27,5",43999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3a8/176_188_1/27756910299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3a8/176_188_1/27756910299.jpg', 'path': 'full/48404de572ec0db47308ab9d56142773ae6d476c.jpg', 'checksum': '4485eb84e04311e5a453274b5bdc433a'}]"
"горный женский Scott Contessa Active 60, 27,5",40999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/8b5/176_188_1/31254060299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/8b5/176_188_1/31254060299.jpg', 'path': 'full/f8d175757c55f89e978ff304b575e26dd93aa96a.jpg', 'checksum': '39894631d190a616d3a81664f8040656'}]"
горный CUBE Reaction Race,126499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/4fb/176_188_1/27095210299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/4fb/176_188_1/27095210299.jpg', 'path': 'full/65e89f3f98d3fb4837d6a26ade37962a1c809cd5.jpg', 'checksum': '48d9e5e31dbbff16029b2f41fcf26d33'}]"
шоссейный Trek EMONDA ALR 5 DISC 700C,138149,,,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/b42/176_188_1/27966090299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/b42/176_188_1/27966090299.jpg', 'path': 'full/c7effdb8f182abc8a9056a9d9c97e7ef708ab016.jpg', 'checksum': 'a16fa8d815509da170f1e13660b76551'}]"
Электровелосипед Eltreco Kupper Unicorn,38999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7b6/176_188_1/20038870299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7b6/176_188_1/20038870299.jpg', 'path': 'full/ebc4e8569a8ec1e5f54ec49ddb26b54cb389242c.jpg', 'checksum': '569c1c702a13da9f34373d7f67d7319b'}]"
шоссейный Scott Speedster 20 Disc 700C,94999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/e7d/176_188_1/27967080299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/e7d/176_188_1/27967080299.jpg', 'path': 'full/db39add93d7228b7854895d22d7869502042d14b.jpg', 'checksum': '4c7cdb4ee208fd3243dd7fd3a8f4b07e'}]"
Электровелосипед Eltreco TT Max,89999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7c9/176_188_1/20762820299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/7c9/176_188_1/20762820299.jpg', 'path': 'full/71624acfcb9158f4baa48b21e7d4e16eb1d19f68.jpg', 'checksum': 'fb872ce156c2dfabc4c05865a446cda4'}]"
горный Trek Roscoe 7 27.5,89999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/5f7/176_188_1/31516360299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/5f7/176_188_1/31516360299.jpg', 'path': 'full/b38b9d86c77360b48b0eb80088f0a865d9bc0b23.jpg', 'checksum': '78517b8b9ef1d737ec1b7f16c8de5448'}]"
горный CUBE Reaction C:62 Pro,162499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/9b0/176_188_1/27966050299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/9b0/176_188_1/27966050299.jpg', 'path': 'full/f9b024e8fa4ab5768bfc7840cc4e01e82f70b342.jpg', 'checksum': '9ee8f4e495a59fd2c118574631e87b55'}]"
"горный CUBE REACTION PRO 27,5",96499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/dae/176_188_1/27095190299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/dae/176_188_1/27095190299.jpg', 'path': 'full/05df7b56d1853034b183b89e1293f87adcc612c3.jpg', 'checksum': 'a804c0770250f4d926191a8495226b45'}]"
горный CUBE Acid,95499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/166/176_188_1/20763180299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/166/176_188_1/20763180299.jpg', 'path': 'full/c6de328182a1ee56d1f745a85256559774952578.jpg', 'checksum': 'c0013772cf53f557fed345f4f4b33248'}]"
городской Stern Q-stom neon 28,10999,nan,0,https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_best_price.png?sv=df873941360fec04,"[{'url': 'https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_best_price.png?sv=df873941360fec04', 'path': 'full/8d61a71b0e08c7b01b4dc95b1ec1af3600e25e49.jpg', 'checksum': 'a2500524a098ff4b157bcdc30b46c755'}]"
горный Stern Dynamic 1.0 26,11999,nan,0,https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_best_price.png?sv=df873941360fec04,"[{'url': 'https://s20050.cdn.ngenix.net/sportmaster.ru/images/icon_best_price.png?sv=df873941360fec04', 'path': 'full/8d61a71b0e08c7b01b4dc95b1ec1af3600e25e49.jpg', 'checksum': 'a2500524a098ff4b157bcdc30b46c755'}]"
шоссейный мужской Trek CHECKPOINT AL 3 700C,95999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/021/176_188_1/27757190299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/021/176_188_1/27757190299.jpg', 'path': 'full/40f308ba75d8b20b93e77bfd8b7e8ef44be3cce3.jpg', 'checksum': '23d41febc38b38a40fb26686158f4210'}]"
горный CUBE Reaction Tm,107499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/02b/176_188_1/27965120299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/02b/176_188_1/27965120299.jpg', 'path': 'full/d1b952c9490ec71d89b0f15fc2dddab3127a3079.jpg', 'checksum': '491de51b206a8dd06ee58cee8d25c729'}]"
шоссейный Scott Speedster Gravel 30 700С,113499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/570/176_188_1/27965500299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/570/176_188_1/27965500299.jpg', 'path': 'full/587c3fcadef7f0a349cd901274cb2dfdb1e81632.jpg', 'checksum': 'f38d91482e88c59382ad9fde226c66a2'}]"
шоссейный мужской Trek CROCKETT 4 DISC 700C,109999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/da8/176_188_1/20020180299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/da8/176_188_1/20020180299.jpg', 'path': 'full/4dbfb19d7661063e598bd9b99b5d9055bece2089.jpg', 'checksum': '15adb0465563c9391ce8db226478e298'}]"
шоссейный Trek EMONDA ALR 4 DISC 700C,116549,,,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/86c/176_188_1/27095200299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/86c/176_188_1/27095200299.jpg', 'path': 'full/23b2aab3254ab7e49e828454068575a8b1d2f3d3.jpg', 'checksum': 'a3766afcd82b481d9b6163ef36204cdb'}]"
горный женский Stern Vega 2.0 26,11699,,,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/57c/176_188_1/31127980299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/57c/176_188_1/31127980299.jpg', 'path': 'full/be26f9f076a0e3fcada3831667ac64079bff1ed0.jpg', 'checksum': 'b7a6af70f0c6fa0b0f0728ff631c434b'}]"
шоссейный CUBE Attain Gtc Race,152499,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/d8e/176_188_1/20762940299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/d8e/176_188_1/20762940299.jpg', 'path': 'full/48d02ad1baa6044201735046f717ab3a128c5b2d.jpg', 'checksum': '673924cb8259545f3fd7fe834a0b02a9'}]"
горный женский Stern Vega 1.0 26,11999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/0ea/176_188_1/27908520299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/0ea/176_188_1/27908520299.jpg', 'path': 'full/d425b30e65d0006ee86fa23ebeb86cc2b2245004.jpg', 'checksum': '4ff23a3035b311ee93676ff509aa7977'}]"
горный Stern Dynamic 2.0 26,12999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/568/176_188_1/27915220299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/568/176_188_1/27915220299.jpg', 'path': 'full/f66c4b68c2b58d7aeb7622c53e0b5f1c0f829fe5.jpg', 'checksum': '2dbb787bafc633097232abda82c96174'}]"
горный Stern Dynamic 1.0 26,11999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/0bd/176_188_1/18720170299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/0bd/176_188_1/18720170299.jpg', 'path': 'full/5fe899cce83e4d616e93591923eee65ea6c30c97.jpg', 'checksum': '7d9fdc4c5b510d8be393e72cad541a23'}]"
складной Stern Compact 2.0 20,13499,"14,999","13,499",https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/949/176_188_1/18386500299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/949/176_188_1/18386500299.jpg', 'path': 'full/c810f4a6d5545b377f156cd041dbfe23837b1139.jpg', 'checksum': '0e196914d17012290b5f2895b9194632'}]"
горный Trek MARLIN 5 29,37999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/71d/176_188_1/31254560299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/71d/176_188_1/31254560299.jpg', 'path': 'full/28b5461ea2a4a08144bf784405ac896506381af9.jpg', 'checksum': 'a8a8e5f35588321d8b8d8612e267a050'}]"
Stern Extreme BMX Steel 20,14999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3c0/176_188_1/18386390299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3c0/176_188_1/18386390299.jpg', 'path': 'full/1629fe384930419de1ef4002b8e541706c1b50d1.jpg', 'checksum': 'f486f89126e47fd2630ed1a2837ce52d'}]"
горный Trek ROSCOE 8 27.5,119999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f5f/176_188_1/27966980299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f5f/176_188_1/27966980299.jpg', 'path': 'full/6f20184dd6086cd2be182aa9483e3a863a30d52a.jpg', 'checksum': '257b680687c32ee8cf63b97573b060b1'}]"
городской Stern Urban 1.0 28,15999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/666/176_188_1/27516700299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/666/176_188_1/27516700299.jpg', 'path': 'full/9573df4ec17f877f67b38ad6c21090171495e031.jpg', 'checksum': 'b419688096f040c222e1e8535946b563'}]"
складной Stern Compact 2.0 alt 20,13499,"14,999","13,499",https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/418/176_188_1/18755630299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/418/176_188_1/18755630299.jpg', 'path': 'full/eeb711d3e59ef511c86ba113d0406dbb3af9b7fa.jpg', 'checksum': '595dd45e65148fc3188ee1765adf83ac'}]"
